emoji,count,positive_%,neutral_%,negative_%
⭐,62,56.5,38.7,4.8
🍆,16,37.5,43.8,18.8
🐨,4,25.0,50.0,25.0
✅,152,68.4,24.3,7.2
📲,20,50.0,40.0,10.0
📞,44,18.2,79.5,2.3
🐾,43,55.8,39.5,4.7
🗿,2,0.0,0.0,100.0
💞,150,60.0,32.0,8.0
⬆,8,25.0,75.0,0.0
🐴,3,0.0,66.7,33.3
☘,17,35.3,52.9,11.8
🐎,10,60.0,20.0,20.0
😶,20,30.0,55.0,15.0
🌴,24,62.5,33.3,4.2
😔,85,29.4,25.9,44.7
✔,70,51.4,41.4,7.1
🍕,10,60.0,40.0,0.0
🤘,70,41.4,42.9,15.7
☁,20,30.0,50.0,20.0
☀,60,66.7,25.0,8.3
🌐,6,0.0,100.0,0.0
🕣,1,100.0,0.0,0.0
⏳,19,42.1,52.6,5.3
🌍,31,48.4,38.7,12.9
🤓,31,35.5,54.8,9.7
🎬,22,18.2,63.6,18.2
🔞,34,35.3,55.9,8.8
🔹,13,46.2,46.2,7.7
😽,11,81.8,18.2,0.0
🤙,30,56.7,30.0,13.3
💘,92,57.6,31.5,10.9
🍸,13,61.5,38.5,0.0
🔃,4,50.0,25.0,25.0
🚧,7,71.4,14.3,14.3
🗳,22,36.4,59.1,4.5
🦄,24,54.2,45.8,0.0
📎,9,22.2,77.8,0.0
👅,64,62.5,25.0,12.5
😫,62,25.8,43.5,30.6
➡,133,49.6,42.1,8.3
🙇,13,46.2,53.8,0.0
⛔,2,0.0,100.0,0.0
🚮,11,9.1,36.4,54.5
💩,19,31.6,47.4,21.1
🐝,19,52.6,42.1,5.3
🤨,19,36.8,26.3,36.8
💚,114,57.0,35.1,7.9
❌,21,33.3,52.4,14.3
🤭,24,16.7,62.5,20.8
💓,113,52.2,39.8,8.0
🌙,26,42.3,46.2,11.5
🐐,27,40.7,44.4,14.8
📊,13,84.6,15.4,0.0
🤖,10,50.0,50.0,0.0
🙆,19,31.6,26.3,42.1
🍇,8,37.5,50.0,12.5
🔮,12,58.3,25.0,16.7
🌮,2,100.0,0.0,0.0
🍔,14,78.6,21.4,0.0
🤥,10,10.0,20.0,70.0
🍟,8,100.0,0.0,0.0
🐔,1,100.0,0.0,0.0
💑,5,80.0,20.0,0.0
✍,13,23.1,69.2,7.7
🙋,30,70.0,20.0,10.0
🔷,6,66.7,16.7,16.7
🐯,39,59.0,28.2,12.8
⏬,26,15.4,73.1,11.5
👤,7,57.1,42.9,0.0
🌀,10,60.0,40.0,0.0
🔫,10,30.0,40.0,30.0
📈,9,33.3,55.6,11.1
🤮,17,11.8,47.1,41.2
🌝,5,40.0,40.0,20.0
🚫,18,66.7,16.7,16.7
